platform id,vehicle id,capacity,distance,time,cost,route
platform_1,vehicle_1,9/10,16 km (15717 m),32 minutes,157.17,"platform,Полина,Булат,Роксана,Жанна,Анна,Людмила,Фаина,Иса,Елена,depot"
platform_1,vehicle_2,9/10,21 km (20563 m),41 minutes,205.63,"platform,Амалия,Аркадий,Элеонора,Рустам,Дарья,Адель,Иван,Арина,Алишер,depot"
platform_1,vehicle_3,10/10,23 km (22239 m),46 minutes,222.39,"platform,Нелли,Эмиль,Альбина,Артемий,Милена,Виталина,Валентина,Яна,Флоренс,Анжела,depot"
platform_1,vehicle_4,10/10,21 km (20751 m),54 minutes,207.51,"platform,Белла,Дмитрий,Фёдор,Мурат,Виталий,Оксана,Алексей,Римма,Георгий,Ника,depot"
platform_1,vehicle_5,10/10,24 km (23276 m),58 minutes,232.76,"platform,Шахин,Жанна,Лидия,Ориана,Егор,Феруза,Зарина,Мирослава,Родион,Глория,depot"
platform_1,vehicle_6,3/10,18 km (17247 m),"1 hours, 19 minutes",172.47,"platform,Клара,Денислав,Анисия,depot"
platform_2,vehicle_1,6/10,14 km (13915 m),"1 hours, 30 minutes",139.15,"platform,Муса,Ислам,Александр,Рамиль,Василиса,Наиль,depot"
platform_2,vehicle_2,10/10,25 km (24645 m),43 minutes,246.45,"platform,Никита,Трофим,Маргарита,Ярослав,Виолетта,Руслан,Тимофей,Татьяна,Лейла,Денис,depot"
platform_2,vehicle_3,9/10,25 km (24976 m),46 minutes,249.76,"platform,Агния,Кирилл,Вера,Серафима,Сарра,Милана,Юлия,Вероника,Соломон,depot"
platform_2,vehicle_4,3/10,24 km (23962 m),"1 hours, 27 minutes",239.62,"platform,Элина,Жасмина,Тамерлан,depot"
platform_2,vehicle_5,10/10,31 km (30583 m),59 minutes,305.83,"platform,Ольга,Милан,Самира,Игорь,Ибрагим,Сава,Игнат,Ксения,Вячеслав,Самир,depot"
platform_3,vehicle_1,3/10,13 km (12501 m),22 minutes,125.01,"platform,Борис,Люция,Инна,depot"
platform_3,vehicle_2,10/10,24 km (23005 m),45 minutes,230.05,"platform,Екатерина,Назар,Ая,Любовь,Анастасия,Дина,Наталия,Фархад,Эльдар,Даниил,depot"
platform_3,vehicle_3,9/10,28 km (27797 m),46 minutes,277.97,"platform,Мария,Алан,Януш,Эрика,Наталья,Кирюша,Марина,Виктория,Роман,depot"
platform_3,vehicle_4,10/10,36 km (35006 m),"1 hours, 2 minutes",350.06,"platform,Павел,Вениамин,Злата,Роза,Сергей,Григорий,Регина,Нонна,Эльмира,Матвей,depot"
platform_3,vehicle_5,10/10,26 km (25275 m),47 minutes,252.75,"platform,Сабина,Платон,Светлана,Мурад,Нурлан,Альберт,Аврора,Рената,Валерий,Майя,depot"
platform_4,vehicle_1,6/10,12 km (11239 m),24 minutes,112.39,"platform,Дамир,Артём,Зинаида,Савва,Тихон,Марк,depot"
platform_4,vehicle_2,9/10,16 km (15638 m),32 minutes,156.38,"platform,Ядвига,Рамзан,Геннадий,Олег,Фарид,Мира,Алиса,Рая,Мелания,depot"
platform_4,vehicle_3,10/10,20 km (19463 m),"1 hours, 30 minutes",194.63,"platform,Кристина,Эдгар,Яков,Максим,Сильвия,Ева,София,Герман,Снежана,Юрий,depot"
platform_4,vehicle_4,10/10,35 km (34244 m),"1 hours, 6 minutes",342.44,"platform,Шамиль,Ярослава,Анатолий,Адиль,Виктор,Эльвира,Аурика,Михаил,Лариса,Асия,depot"
platform_4,vehicle_5,10/10,37 km (36839 m),"1 hours, 1 minutes",368.39,"platform,Диана,Надежда,Камиль,Алёна,Всеволод,Тимур,Александра,Илья,Карина,Демид,depot"
platform_5,vehicle_1,7/10,13 km (12384 m),25 minutes,123.84,"platform,Агата,Антон,Арсений,Эвелина,Станислав,Ян,Влад,depot"
platform_5,vehicle_2,10/10,32 km (31759 m),57 minutes,317.59,"platform,Эльза,Амир,Нина,Таисия,Микаэл,Олеся,Эрик,Раяна,Гордей,Роберт,depot"
platform_5,vehicle_3,10/10,29 km (28567 m),"1 hours, 30 minutes",285.67,"platform,Прохор,Лев,Лилия,Эмилия,Владислав,Андрей,Святослав,Константин,Лука,Джамал,depot"
platform_5,vehicle_4,9/10,27 km (26701 m),50 minutes,267.01,"platform,Галия,Марат,Семён,Мирон,Захар,Глеб,Тагир,Фируза,Ирина,depot"
